timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2022-01-01 00:00:00,46216.93000000,46731.39000000,46208.37000000,46656.13000000,1503.33095000,1640998799999,69879986.39049930,38608,806.06536000,37462156.91764400,0
2022-01-01 01:00:00,46656.14000000,46949.99000000,46574.06000000,46778.14000000,943.81539000,1641002399999,44127148.11760220,31872,491.18067000,22963272.85537420,0
2022-01-01 02:00:00,46778.14000000,46928.94000000,46721.96000000,46811.77000000,485.16860000,1641005999999,22720670.41920010,24364,206.35113000,9662607.06589570,0
2022-01-01 03:00:00,46811.77000000,46916.63000000,46760.12000000,46813.20000000,562.88971000,1641009599999,26363260.46336290,19882,248.28212000,11629376.39696030,0
2022-01-01 04:00:00,46813.21000000,46887.33000000,46591.23000000,46711.05000000,861.88389000,1641013199999,40272043.73838760,23357,397.53563000,18575402.25911010,0
2022-01-01 05:00:00,46711.05000000,47555.55000000,46673.94000000,47192.55000000,1400.73642000,1641016799999,66188305.95622700,41431,776.78632000,36695321.68926670,0
2022-01-01 06:00:00,47192.56000000,47324.42000000,46940.00000000,46979.62000000,613.97776000,1641020399999,28941491.56563970,25196,299.44097000,14116069.38353970,0
2022-01-01 07:00:00,46979.61000000,47255.85000000,46864.84000000,47194.73000000,646.20081000,1641023999999,30399865.63259870,25166,290.68371000,13676285.58825070,0
2022-01-01 08:00:00,47194.73000000,47344.69000000,47075.11000000,47124.82000000,532.44767000,1641027599999,25132258.91789440,24412,277.09449000,13080038.84682750,0
2022-01-01 09:00:00,47124.82000000,47215.56000000,46933.58000000,47143.98000000,541.32491000,1641031199999,25480514.38439350,25365,254.64431000,11986961.52429050,0
2022-01-01 10:00:00,47143.98000000,47298.75000000,46715.39000000,46871.08000000,923.01760000,1641034799999,43322629.22771110,32540,448.37765000,21043573.66074990,0
2022-01-01 11:00:00,46871.09000000,47007.73000000,46756.77000000,46758.87000000,732.88793000,1641038399999,34373032.68243550,27081,331.45687000,15546269.32695530,0
2022-01-01 12:00:00,46758.87000000,47150.48000000,46756.30000000,47074.05000000,582.15009000,1641041999999,27355387.02829300,25608,305.54991000,14358610.10216820,0
2022-01-01 13:00:00,47074.05000000,47199.67000000,46935.09000000,47023.24000000,454.14412000,1641045599999,21373423.46081650,23077,216.57778000,10194176.56101460,0
2022-01-01 14:00:00,47023.24000000,47100.00000000,46850.18000000,46926.22000000,503.66220000,1641049199999,23656850.50839710,23020,201.28873000,9453983.66816080,0
2022-01-01 15:00:00,46920.01000000,47491.14000000,46871.69000000,47219.04000000,1515.95305000,1641052799999,71605243.71459310,37411,827.63725000,39088771.93551860,0
2022-01-01 16:00:00,47219.04000000,47527.24000000,47186.07000000,47268.62000000,1049.57919000,1641056399999,49727146.24110400,36116,499.31520000,23655863.83973110,0
2022-01-01 17:00:00,47268.61000000,47954.63000000,47238.81000000,47754.48000000,1320.66577000,1641059999999,62917380.65198550,50007,665.48923000,31698926.84245520,0
2022-01-01 18:00:00,47754.47000000,47844.97000000,47420.00000000,47560.55000000,860.76025000,1641063599999,40986790.58520160,33471,439.80569000,20940504.66742650,0
2022-01-01 19:00:00,47560.54000000,47611.84000000,47292.72000000,47329.78000000,830.67160000,1641067199999,39371494.07510190,34902,446.07002000,21139553.60469720,0
2022-01-01 20:00:00,47329.79000000,47559.03000000,47250.18000000,47391.82000000,717.20792000,1641070799999,33997955.14030300,26745,418.61643000,19840986.49463910,0
2022-01-01 21:00:00,47391.82000000,47573.05000000,47268.79000000,47319.67000000,809.21927000,1641074399999,38367198.61858770,26162,468.13641000,22196355.22272780,0
2022-01-01 22:00:00,47319.66000000,47490.98000000,47222.22000000,47440.74000000,466.47861000,1641077999999,22096653.53843000,26369,229.44448000,10868452.01605550,0
2022-01-01 23:00:00,47440.74000000,47814.00000000,47277.77000000,47722.65000000,746.28954000,1641081599999,35498428.52472110,32737,396.53643000,18865191.32064730,0
2022-01-02 00:00:00,47722.66000000,47750.00000000,47381.12000000,47625.30000000,1082.50817000,1641085199999,51510548.66015400,32921,544.81807000,25926023.58723130,0
2022-01-02 01:00:00,47625.29000000,47641.83000000,47315.38000000,47377.97000000,465.75360000,1641088799999,22096206.48265000,24393,232.39924000,11024506.79340980,0
2022-01-02 02:00:00,47377.97000000,47449.56000000,47275.50000000,47370.50000000,452.39245000,1641092399999,21431205.77444050,25513,215.80473000,10223953.17078540,0
2022-01-02 03:00:00,47370.49000000,47467.11000000,47269.47000000,47329.47000000,387.25302000,1641095999999,18338323.32437540,18986,183.63779000,8697281.43242560,0
2022-01-02 04:00:00,47329.47000000,47415.73000000,46770.23000000,46910.30000000,1259.68820000,1641099599999,59314365.86586180,36223,585.93599000,27590671.97547690,0
2022-01-02 05:00:00,46910.30000000,47089.63000000,46832.08000000,47081.28000000,686.20377000,1641103199999,32222910.71124100,24054,356.83931000,16758172.43975900,0
2022-01-02 06:00:00,47081.28000000,47244.00000000,47011.24000000,47122.61000000,528.20197000,1641106799999,24892334.12044100,19779,299.01836000,14091987.13146460,0
2022-01-02 07:00:00,47122.60000000,47300.00000000,47087.62000000,47173.45000000,544.37433000,1641110399999,25684083.14528430,20702,262.37642000,12379787.66950860,0
2022-01-02 08:00:00,47173.44000000,47247.12000000,46970.05000000,47222.40000000,578.28603000,1641113999999,27254939.79707820,28390,260.24477000,12266444.63610140,0
2022-01-02 09:00:00,47222.40000000,47499.45000000,47144.12000000,47273.24000000,792.44368000,1641117599999,37508111.28133180,30399,404.80037000,19159875.11284420,0
2022-01-02 10:00:00,47273.23000000,47348.34000000,47140.30000000,47188.89000000,390.08901000,1641121199999,18437661.80917850,21618,196.35263000,9280986.39680330,0
2022-01-02 11:00:00,47188.88000000,47400.00000000,47159.57000000,47235.50000000,359.02993000,1641124799999,16973153.65375930,21474,188.87582000,8929688.90123580,0
2022-01-02 12:00:00,47238.89000000,47447.00000000,47013.50000000,47292.95000000,798.05773000,1641128399999,37687789.89115280,32247,361.76746000,17083929.31086680,0
2022-01-02 13:00:00,47289.67000000,47300.86000000,47090.00000000,47137.35000000,580.44121000,1641131999999,27379356.58907470,25806,312.89363000,14757715.07758900,0
2022-01-02 14:00:00,47137.35000000,47202.39000000,47020.00000000,47112.55000000,617.66611000,1641135599999,29105931.94147110,31910,329.04034000,15505563.21310160,0
2022-01-02 15:00:00,47112.54000000,47390.00000000,47071.27000000,47340.47000000,784.16369000,1641139199999,37034369.04579930,35285,397.31623000,18768284.21793140,0
2022-01-02 16:00:00,47340.47000000,47886.00000000,47273.64000000,47792.30000000,1367.56950000,1641142799999,65059041.57030510,46452,789.72096000,37572637.66053260,0
2022-01-02 17:00:00,47792.29000000,47990.00000000,47317.46000000,47401.14000000,1440.59237000,1641146399999,68642927.26575060,49654,660.58946000,31482759.06059580,0
